Structure_No,Tension_Length
564/27,481.5
564/28,481.5
564/45,436
564/46,436
565/01,589.5
565/02,589.5
565/33,631.5
565/34,631.5
565/39,482
565/40,482
566/31,731.5
566/32,731.5
566/39,561
566/40,561
567/31,696
567/32,696
568/03,695
568/04,695
569/03,634.5
569/04,693
569/09,640.5
569/10,640.5
570/07,751.5
570/12,396
570/13,735.5
570/14,351
570/16,540
570/17A,691
570/18,724
570/21A,610
570/25,592
570/30,695
571/18,639
571/20,580.5
571/26,540
571/27,521.5
571/29,578
571/33,720
571/37,607.5
571/38,675
572/19,711
572/20,672
572/25,518
572/26,640
573/28,648
573/33,688.5
573/34,727.5
574/09,670.5
574/10,670.5
574/15,648
575/17,670.5
575/18,670.5
575/23,738
575/24,738
576/21,668.5
576/22,668.5
576/27,733.5
576/28,733.5
577/27,688.5
577/28,544.6
578/01,681.5
578/02,681.5
578/08,558
578/09,319
578/11,666
578/16,567
578/17,530
579/14,634.5
579/17,762
579/23,604
579/24,627
579/26,649
579/27,715.5
579/29,333
579/30,648
580/19,647
580/20,647
580/25,585
580/26,585
581/21,645
581/22,645
581/27,644.5
581/28,644.5
582/25,712
582/26,712
582/31,642
582/32,642
584/03,652.5
584/04,652.5
584/09,759.5
584/10,759.5
585/06,684
585/09,684
585/11,648
585/12,604
585/15,553.5
585/16,553.5
585/22,637.5
586/17,553.5
586/20,553.5
586/21,648
586/22,634.5
586/23,572.5
586/25,522
586/28,600
587/21,720
587/22,720
587/27,598.5
587/28,598.5
588/05,666
588/06,666
589/15,703.5
589/16,703.5
589/23,01/02/1902
589/24,05/03/2025
590/19,633.5
590/20,701
590/25,686.5
590/26,686.5
591/25,549
591/31,640
591/32,702
591/33,441
592/01,637.5
592/04,748
592/07,549
592/08,549
592/20,665.5
593/03,702
593/09,562.5
593/10,562.5
593/15,703.5
593/17,342
593/22,427.5
593/28,725
594/07,693
594/08,693
594/13,652.5
594/14,454.5
595/13,715.5
595/14,715.5
595/19,711
595/20,711
596/19,706.5
596/20,706.5
596/25,711
596/26,711
597/29,625.5
597/30,445.5
598/02,697.5
598/03,697.5
598/08,652.5
598/09,472.5
598/11,648
598/15,662.5
598/16,662.5
598/24,706.5
599/11,639
599/17,549
599/20,589.5
599/21,648
599/23,681.5
599/28,444
599/34,702
600/15,724.5
600/16,724.5
600/21,720
600/22,495
601/19,711
601/20,711
601/25,652.5
601/26,652.5
602/25,616.5
602/26,616.5
603/01,643.5
603/02,643.5
603/27,643.5
603/32,706.5
603/37,562.5
604/04,679.5
604/05,391.5
604/07,715.5
604/11,616.5
604/12,558
604/18,382.5
605/12,742.5
605/16,639
605/17,580
605/18,639
605/21,675
605/23,589.5
605/24,648.5
605/25,579.5
605/33,648
606/19,693
606/20,693
606/25,616.5
606/26,670.5
607/25,625.5
607/26,625.5
607/31,670.5
607/32,670.5
608/29,553.5
608/30,706.5
609/01,621
609/02,621
609/07,711
609/10,463.5
609/12,652.5
609/15,562.5
609/16,562.5
609/23,544.5
610/14,607.5
610/19,535.5
610/20,535.5
610/25,562.5
610/26,607.5
610/28,409.5
610/33,612
611/13,544.5
611/14,544.5
611/19,459
611/20,625.5
612/09,697.5
612/10,697.5
612/15,535.5
612/16,535.5
